
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 1, Time: 0.00585938, Systemstep: 0.00585938, Nsync-grv:          0, Nsync-hyd:          6

Sync-Point 2, Time: 0.0117188, Systemstep: 0.00585938, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 3, Time: 0.0175781, Systemstep: 0.00585938, Nsync-grv:          0, Nsync-hyd:          4

Sync-Point 4, Time: 0.0234375, Systemstep: 0.00585938, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 5, Time: 0.0351562, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 6, Time: 0.046875, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 7, Time: 0.0585938, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 8, Time: 0.0703125, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 9, Time: 0.0820312, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 10, Time: 0.09375, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 11, Time: 0.105469, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 12, Time: 0.117188, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 13, Time: 0.128906, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 14, Time: 0.140625, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 15, Time: 0.152344, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 16, Time: 0.164062, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 17, Time: 0.175781, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 18, Time: 0.1875, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 19, Time: 0.199219, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 20, Time: 0.210938, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 21, Time: 0.222656, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 22, Time: 0.234375, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 23, Time: 0.246094, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 24, Time: 0.257812, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 25, Time: 0.269531, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 26, Time: 0.28125, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 27, Time: 0.292969, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 28, Time: 0.304688, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 29, Time: 0.316406, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 30, Time: 0.328125, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 31, Time: 0.339844, Systemstep: 0.0117188, Nsync-grv:      65752, Nsync-hyd:      65752

