
MEMORY:  Largest Allocation = 1296.21 Mbyte  |  Largest Allocation Without Generic = 1296.21 Mbyte

-------------------------- Allocated Memory Blocks---- ( Step        0 )------------------
Task    Nr F                  Variable      MBytes   Cumulative  Function|File|Linenumber
------------------------------------------------------------------------------------------
   0     0 0             GetGhostRankForSimulCommRank      0.0001       0.0001  mymalloc_init()|src/data/mymalloc.cc|142
   0     1 0               GetShmRankForSimulCommRank      0.0001       0.0001  mymalloc_init()|src/data/mymalloc.cc|143
   0     2 0                GetNodeIDForSimulCommRank      0.0001       0.0002  mymalloc_init()|src/data/mymalloc.cc|144
   0     3 0                        SharedMemBaseAddr      0.0001       0.0002  mymalloc_init()|src/data/mymalloc.cc|158
   0     4 1                                        P      5.8525       5.8528  allocate_memory()|src/io/../gravtree/../data/simparticles|276
   0     5 1                                     SphP     10.0329      15.8857  allocate_memory()|src/io/../gravtree/../data/simparticles|277
   0     6 1                  NextActiveParticleHydro      0.2090      16.0947  timebins_allocate()|src/time_integration/timestep.cc|464
   0     7 1                       NextInTimeBinHydro      0.2090      16.3038  timebins_allocate()|src/time_integration/timestep.cc|467
   0     8 1                       PrevInTimeBinHydro      0.2090      16.5128  timebins_allocate()|src/time_integration/timestep.cc|470
   0     9 1                NextActiveParticleGravity      0.2090      16.7219  timebins_allocate()|src/time_integration/timestep.cc|464
   0    10 1                     NextInTimeBinGravity      0.2090      16.9309  timebins_allocate()|src/time_integration/timestep.cc|467
   0    11 1                     PrevInTimeBinGravity      0.2090      17.1400  timebins_allocate()|src/time_integration/timestep.cc|470
   0    12 1                       FirstTopleafOfTask      0.0001      17.1400  domain_allocate()|src/domain/domain.cc|164
   0    13 1                         NumTopleafOfTask      0.0001      17.1401  domain_allocate()|src/domain/domain.cc|165
   0    14 1                                 TopNodes      0.0016      17.1417  domain_allocate()|src/domain/domain.cc|166
   0    15 1                               TaskOfLeaf      0.0007      17.1423  domain_allocate()|src/domain/domain.cc|167
   0    16 1                          ListOfTopleaves      0.0007      17.1430  domain_decomposition()|src/domain/domain.cc|119
   0    17 1                               Send_count      0.0001      17.1431  treeallocate()|src/tree/tree.cc|795
   0    18 1                              Send_offset      0.0001      17.1431  treeallocate()|src/tree/tree.cc|796
   0    19 1                               Recv_count      0.0001      17.1432  treeallocate()|src/tree/tree.cc|797
   0    20 1                              Recv_offset      0.0001      17.1432  treeallocate()|src/tree/tree.cc|798
   0    21 0                        TreeNodes_offsets      0.0001      17.1433  treeallocate()|src/tree/tree.cc|825
   0    22 0                       TreePoints_offsets      0.0001      17.1434  treeallocate()|src/tree/tree.cc|826
   0    23 0                     TreeNextnode_offsets      0.0001      17.1434  treeallocate()|src/tree/tree.cc|827
   0    24 0                TreeForeign_Nodes_offsets      0.0001      17.1435  treeallocate()|src/tree/tree.cc|828
   0    25 0               TreeForeign_Points_offsets      0.0001      17.1436  treeallocate()|src/tree/tree.cc|829
   0    26 0                            TreeP_offsets      0.0001      17.1436  treeallocate()|src/tree/tree.cc|830
   0    27 0                         TreeSphP_offsets      0.0001      17.1437  treeallocate()|src/tree/tree.cc|831
   0    28 0                           TreePS_offsets      0.0001      17.1437  treeallocate()|src/tree/tree.cc|832
   0    29 0                    TreeSharedMemBaseAddr      0.0001      17.1438  treeallocate()|src/tree/tree.cc|834
   0    30 0                                NodeLevel      0.0002      17.1440  treeallocate()|src/tree/tree.cc|852
   0    31 0                              NodeSibling      0.0007      17.1447  treeallocate()|src/tree/tree.cc|853
   0    32 0                                NodeIndex      0.0007      17.1453  treeallocate()|src/tree/tree.cc|854
